Date,Open,High,Low,Close,Market Cap
10/3/2017,4385.7,4417.98,4104.51,4300,72942050206
10/4/2017,4300,4339.98,4175,4214.25,71500371276
10/5/2017,4214.25,4360.38,4145,4318.57,69980324733
10/6/2017,4318.57,4410.26,4300,4362.42,71768549009
10/7/2017,4362.42,4448,4320.01,4425.01,72389967047
10/8/2017,4425.01,4609,4412.42,4602.5,73285206114
10/9/2017,4602.5,4875,4550,4751.08,76287408498
10/10/2017,4751.08,4919.01,4712.11,4756.22,79323402665
10/11/2017,4756.22,4864.67,4720,4813.85,79672584178
10/12/2017,4813.85,5437.69,4811.06,5437.68,81540947088
10/13/2017,5437.68,5868.78,5390.93,5636.28,90735388638
10/14/2017,5636.28,5800,5555.89,5799.99,93532581403
10/15/2017,5799.99,5833.72,5450,5694.61,95846971879
10/16/2017,5694.61,5778.35,5575,5748.56,93892718419
10/17/2017,5748.56,5769.99,5513.45,5592.26,95500937910
10/18/2017,5592.26,5604.05,5082.24,5569.33,93035196930
10/19/2017,5569.33,5745.03,5512.9,5695.01,91403039779
10/20/2017,5695.01,6050,5615,5984.03,94541787303
10/21/2017,5984.03,6178.79,5900.01,6012.58,99647510760
10/22/2017,6012.58,6069.67,5750,5974.97,1.00E+11
10/23/2017,5974.97,6060.28,5625.31,5899.6,98804297628
10/24/2017,5899.6,5903,5464,5517.21,97857214874
10/25/2017,5517.21,5750.97,5375,5741.66,92842316956
10/26/2017,5741.66,5992.51,5692,5889.42,94793250905
10/27/2017,5889.42,5992.01,5703.08,5765.32,97986555070
10/28/2017,5765.32,5884.97,5660.79,5730.01,95987490804
10/29/2017,5730.01,6295.03,5699.33,6132.76,95508723185
10/30/2017,6132.76,6204.6,6025.25,6124.69,1.02E+11
10/31/2017,6124.69,6467.32,6097.8,6448.36,1.02E+11
11/1/2017,6448.36,6750,6365,6741.02,1.07E+11
11/2/2017,6741.02,7336,6730,7037.48,1.12E+11
11/3/2017,7037.48,7448.78,6952.59,7177.28,1.16E+11
11/4/2017,7177.28,7511.34,7099.01,7371.55,1.20E+11
11/5/2017,7371.55,7589.79,7300,7394.44,1.23E+11
11/6/2017,7394.44,7410,6947.63,6975.01,1.24E+11
11/7/2017,6975.01,7234.68,6975,7109.7,1.17E+11
